"Step","fold-1 - val_accuracy","fold-1 - val_accuracy__MIN","fold-1 - val_accuracy__MAX"
"0","0.87475","0.87475","0.87475"
"1","0.8825833333333334","0.8825833333333334","0.8825833333333334"
"2","0.8993333333333333","0.8993333333333333","0.8993333333333333"
"3","0.9063333333333333","0.9063333333333333","0.9063333333333333"
"4","0.9039166666666667","0.9039166666666667","0.9039166666666667"
"5","0.9119166666666667","0.9119166666666667","0.9119166666666667"
"6","0.9074166666666666","0.9074166666666666","0.9074166666666666"
"7","0.917","0.917","0.917"
"8","0.9159166666666667","0.9159166666666667","0.9159166666666667"
"9","0.9200833333333334","0.9200833333333334","0.9200833333333334"
"10","0.9250833333333334","0.9250833333333334","0.9250833333333334"
"11","0.9205","0.9205","0.9205"
"12","0.92575","0.92575","0.92575"
"13","0.9286666666666666","0.9286666666666666","0.9286666666666666"
"14","0.9260833333333334","0.9260833333333334","0.9260833333333334"
"15","0.9224166666666667","0.9224166666666667","0.9224166666666667"
"16","0.9291666666666667","0.9291666666666667","0.9291666666666667"
"17","0.9236666666666666","0.9236666666666666","0.9236666666666666"
"18","0.9295833333333333","0.9295833333333333","0.9295833333333333"
