"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.34469900105861906","0.34469900105861906","0.34469900105861906"
"1","0.31954873678215007","0.31954873678215007","0.31954873678215007"
"2","0.2690942059568268","0.2690942059568268","0.2690942059568268"
"3","0.2561755898468038","0.2561755898468038","0.2561755898468038"
"4","0.2562457250550072","0.2562457250550072","0.2562457250550072"
"5","0.24021760516978324","0.24021760516978324","0.24021760516978324"
"6","0.2467858059767713","0.2467858059767713","0.2467858059767713"
"7","0.2241721687085451","0.2241721687085451","0.2241721687085451"
"8","0.23022776534979014","0.23022776534979014","0.23022776534979014"
"9","0.21692050454464365","0.21692050454464365","0.21692050454464365"
"10","0.20360107507873723","0.20360107507873723","0.20360107507873723"
"11","0.2167274419495717","0.2167274419495717","0.2167274419495717"
"12","0.21118900447370523","0.21118900447370523","0.21118900447370523"
"13","0.20153672666229466","0.20153672666229466","0.20153672666229466"
"14","0.208028265374138","0.208028265374138","0.208028265374138"
"15","0.22708595548062882","0.22708595548062882","0.22708595548062882"
"16","0.20806214718663313","0.20806214718663313","0.20806214718663313"
"17","0.22625338892511865","0.22625338892511865","0.22625338892511865"
"18","0.20854198052845102","0.20854198052845102","0.20854198052845102"
