"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","1","50yqc0o2","900","fold-1"
"T-shirt/top","Trouser","1","50yqc0o2","0","fold-1"
"T-shirt/top","Pullover","1","50yqc0o2","15","fold-1"
"T-shirt/top","Dress","1","50yqc0o2","11","fold-1"
"T-shirt/top","Coat","1","50yqc0o2","3","fold-1"
"T-shirt/top","Sandal","1","50yqc0o2","1","fold-1"
"T-shirt/top","Shirt","1","50yqc0o2","65","fold-1"
"T-shirt/top","Sneaker","1","50yqc0o2","0","fold-1"
"T-shirt/top","Bag","1","50yqc0o2","5","fold-1"
"T-shirt/top","Ankle boot","1","50yqc0o2","0","fold-1"
"Trouser","T-shirt/top","1","50yqc0o2","2","fold-1"
"Trouser","Trouser","1","50yqc0o2","982","fold-1"
"Trouser","Pullover","1","50yqc0o2","1","fold-1"
"Trouser","Dress","1","50yqc0o2","10","fold-1"
"Trouser","Coat","1","50yqc0o2","2","fold-1"
"Trouser","Sandal","1","50yqc0o2","0","fold-1"
"Trouser","Shirt","1","50yqc0o2","2","fold-1"
"Trouser","Sneaker","1","50yqc0o2","0","fold-1"
"Trouser","Bag","1","50yqc0o2","1","fold-1"
"Trouser","Ankle boot","1","50yqc0o2","0","fold-1"
"Pullover","T-shirt/top","1","50yqc0o2","19","fold-1"
"Pullover","Trouser","1","50yqc0o2","0","fold-1"
"Pullover","Pullover","1","50yqc0o2","895","fold-1"
"Pullover","Dress","1","50yqc0o2","8","fold-1"
"Pullover","Coat","1","50yqc0o2","45","fold-1"
"Pullover","Sandal","1","50yqc0o2","0","fold-1"
"Pullover","Shirt","1","50yqc0o2","33","fold-1"
"Pullover","Sneaker","1","50yqc0o2","0","fold-1"
"Pullover","Bag","1","50yqc0o2","0","fold-1"
"Pullover","Ankle boot","1","50yqc0o2","0","fold-1"
"Dress","T-shirt/top","1","50yqc0o2","13","fold-1"
"Dress","Trouser","1","50yqc0o2","2","fold-1"
"Dress","Pullover","1","50yqc0o2","8","fold-1"
"Dress","Dress","1","50yqc0o2","935","fold-1"
"Dress","Coat","1","50yqc0o2","22","fold-1"
"Dress","Sandal","1","50yqc0o2","0","fold-1"
"Dress","Shirt","1","50yqc0o2","18","fold-1"
"Dress","Sneaker","1","50yqc0o2","0","fold-1"
"Dress","Bag","1","50yqc0o2","2","fold-1"
"Dress","Ankle boot","1","50yqc0o2","0","fold-1"
"Coat","T-shirt/top","1","50yqc0o2","0","fold-1"
"Coat","Trouser","1","50yqc0o2","0","fold-1"
"Coat","Pullover","1","50yqc0o2","34","fold-1"
"Coat","Dress","1","50yqc0o2","26","fold-1"
"Coat","Coat","1","50yqc0o2","908","fold-1"
"Coat","Sandal","1","50yqc0o2","0","fold-1"
"Coat","Shirt","1","50yqc0o2","31","fold-1"
"Coat","Sneaker","1","50yqc0o2","0","fold-1"
