"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","0.5387853446205457","0.5387853446205457","0.5387853446205457"
"1","0.35287737799684205","0.35287737799684205","0.35287737799684205"
"2","0.30210747386018433","0.30210747386018433","0.30210747386018433"
"3","0.2735791843235493","0.2735791843235493","0.2735791843235493"
"4","0.2508549506763617","0.2508549506763617","0.2508549506763617"
"5","0.23247350613276163","0.23247350613276163","0.23247350613276163"
"6","0.21697257652382057","0.21697257652382057","0.21697257652382057"
"7","0.20674347492555778","0.20674347492555778","0.20674347492555778"
"8","0.19237854979435604","0.19237854979435604","0.19237854979435604"
"9","0.1823592665741841","0.1823592665741841","0.1823592665741841"
"10","0.17247304069499175","0.17247304069499175","0.17247304069499175"
"11","0.16640502418329317","0.16640502418329317","0.16640502418329317"
"12","0.15649424649278323","0.15649424649278323","0.15649424649278323"
"13","0.1488560624048114","0.1488560624048114","0.1488560624048114"
"14","0.14278612969319027","0.14278612969319027","0.14278612969319027"
"15","0.13757873262713352","0.13757873262713352","0.13757873262713352"
"16","0.13106841762860616","0.13106841762860616","0.13106841762860616"
"17","0.12458184946080049","0.12458184946080049","0.12458184946080049"
"18","0.119687909035633","0.119687909035633","0.119687909035633"
