"Step","fold-1 - val_accuracy","fold-1 - val_accuracy__MIN","fold-1 - val_accuracy__MAX"
"0","0.8861666666666667","0.8861666666666667","0.8861666666666667"
"1","0.8929166666666667","0.8929166666666667","0.8929166666666667"
"2","0.90975","0.90975","0.90975"
"3","0.9096666666666666","0.9096666666666666","0.9096666666666666"
"4","0.9190833333333334","0.9190833333333334","0.9190833333333334"
"5","0.9204166666666667","0.9204166666666667","0.9204166666666667"
"6","0.9188333333333333","0.9188333333333333","0.9188333333333333"
"7","0.9205833333333333","0.9205833333333333","0.9205833333333333"
"8","0.92525","0.92525","0.92525"
"9","0.9254166666666667","0.9254166666666667","0.9254166666666667"
"10","0.923","0.923","0.923"
