"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","1","q7og5o63","898","fold-1"
"T-shirt/top","Trouser","1","q7og5o63","0","fold-1"
"T-shirt/top","Pullover","1","q7og5o63","10","fold-1"
"T-shirt/top","Dress","1","q7og5o63","9","fold-1"
"T-shirt/top","Coat","1","q7og5o63","2","fold-1"
"T-shirt/top","Sandal","1","q7og5o63","2","fold-1"
"T-shirt/top","Shirt","1","q7og5o63","73","fold-1"
"T-shirt/top","Sneaker","1","q7og5o63","1","fold-1"
"T-shirt/top","Bag","1","q7og5o63","4","fold-1"
"T-shirt/top","Ankle boot","1","q7og5o63","1","fold-1"
"Trouser","T-shirt/top","1","q7og5o63","0","fold-1"
"Trouser","Trouser","1","q7og5o63","987","fold-1"
"Trouser","Pullover","1","q7og5o63","0","fold-1"
"Trouser","Dress","1","q7og5o63","8","fold-1"
"Trouser","Coat","1","q7og5o63","1","fold-1"
"Trouser","Sandal","1","q7og5o63","0","fold-1"
"Trouser","Shirt","1","q7og5o63","3","fold-1"
"Trouser","Sneaker","1","q7og5o63","0","fold-1"
"Trouser","Bag","1","q7og5o63","1","fold-1"
"Trouser","Ankle boot","1","q7og5o63","0","fold-1"
"Pullover","T-shirt/top","1","q7og5o63","17","fold-1"
"Pullover","Trouser","1","q7og5o63","1","fold-1"
"Pullover","Pullover","1","q7og5o63","868","fold-1"
"Pullover","Dress","1","q7og5o63","9","fold-1"
"Pullover","Coat","1","q7og5o63","40","fold-1"
"Pullover","Sandal","1","q7og5o63","0","fold-1"
"Pullover","Shirt","1","q7og5o63","64","fold-1"
"Pullover","Sneaker","1","q7og5o63","0","fold-1"
"Pullover","Bag","1","q7og5o63","1","fold-1"
"Pullover","Ankle boot","1","q7og5o63","0","fold-1"
"Dress","T-shirt/top","1","q7og5o63","14","fold-1"
"Dress","Trouser","1","q7og5o63","6","fold-1"
"Dress","Pullover","1","q7og5o63","8","fold-1"
"Dress","Dress","1","q7og5o63","938","fold-1"
"Dress","Coat","1","q7og5o63","17","fold-1"
"Dress","Sandal","1","q7og5o63","0","fold-1"
"Dress","Shirt","1","q7og5o63","14","fold-1"
"Dress","Sneaker","1","q7og5o63","0","fold-1"
"Dress","Bag","1","q7og5o63","3","fold-1"
"Dress","Ankle boot","1","q7og5o63","0","fold-1"
"Coat","T-shirt/top","1","q7og5o63","1","fold-1"
"Coat","Trouser","1","q7og5o63","0","fold-1"
"Coat","Pullover","1","q7og5o63","54","fold-1"
"Coat","Dress","1","q7og5o63","27","fold-1"
"Coat","Coat","1","q7og5o63","832","fold-1"
"Coat","Sandal","1","q7og5o63","0","fold-1"
"Coat","Shirt","1","q7og5o63","86","fold-1"
"Coat","Sneaker","1","q7og5o63","0","fold-1"
"Coat","Bag","1","q7og5o63","0","fold-1"
"Coat","Ankle boot","1","q7og5o63","0","fold-1"
"Sandal","T-shirt/top","1","q7og5o63","0","fold-1"
"Sandal","Trouser","1","q7og5o63","0","fold-1"
"Sandal","Pullover","1","q7og5o63","0","fold-1"
"Sandal","Dress","1","q7og5o63","0","fold-1"
"Sandal","Coat","1","q7og5o63","0","fold-1"
"Sandal","Sandal","1","q7og5o63","980","fold-1"
"Sandal","Shirt","1","q7og5o63","0","fold-1"
"Sandal","Sneaker","1","q7og5o63","14","fold-1"
"Sandal","Bag","1","q7og5o63","0","fold-1"
"Sandal","Ankle boot","1","q7og5o63","6","fold-1"
"Shirt","T-shirt/top","1","q7og5o63","123","fold-1"
"Shirt","Trouser","1","q7og5o63","2","fold-1"
"Shirt","Pullover","1","q7og5o63","39","fold-1"
"Shirt","Dress","1","q7og5o63","22","fold-1"
"Shirt","Coat","1","q7og5o63","44","fold-1"
"Shirt","Sandal","1","q7og5o63","0","fold-1"
"Shirt","Shirt","1","q7og5o63","762","fold-1"
"Shirt","Sneaker","1","q7og5o63","0","fold-1"
"Shirt","Bag","1","q7og5o63","8","fold-1"
"Shirt","Ankle boot","1","q7og5o63","0","fold-1"
"Sneaker","T-shirt/top","1","q7og5o63","0","fold-1"
"Sneaker","Trouser","1","q7og5o63","0","fold-1"
"Sneaker","Pullover","1","q7og5o63","0","fold-1"
"Sneaker","Dress","1","q7og5o63","0","fold-1"
"Sneaker","Coat","1","q7og5o63","0","fold-1"
"Sneaker","Sandal","1","q7og5o63","7","fold-1"
"Sneaker","Shirt","1","q7og5o63","0","fold-1"
"Sneaker","Sneaker","1","q7og5o63","972","fold-1"
"Sneaker","Bag","1","q7og5o63","0","fold-1"
"Sneaker","Ankle boot","1","q7og5o63","21","fold-1"
"Bag","T-shirt/top","1","q7og5o63","5","fold-1"
"Bag","Trouser","1","q7og5o63","0","fold-1"
"Bag","Pullover","1","q7og5o63","3","fold-1"
"Bag","Dress","1","q7og5o63","5","fold-1"
"Bag","Coat","1","q7og5o63","1","fold-1"
"Bag","Sandal","1","q7og5o63","4","fold-1"
"Bag","Shirt","1","q7og5o63","3","fold-1"
"Bag","Sneaker","1","q7og5o63","1","fold-1"
"Bag","Bag","1","q7og5o63","978","fold-1"
"Bag","Ankle boot","1","q7og5o63","0","fold-1"
"Ankle boot","T-shirt/top","1","q7og5o63","0","fold-1"
"Ankle boot","Trouser","1","q7og5o63","0","fold-1"
"Ankle boot","Pullover","1","q7og5o63","0","fold-1"
"Ankle boot","Dress","1","q7og5o63","0","fold-1"
"Ankle boot","Coat","1","q7og5o63","0","fold-1"
"Ankle boot","Sandal","1","q7og5o63","6","fold-1"
"Ankle boot","Shirt","1","q7og5o63","1","fold-1"
"Ankle boot","Sneaker","1","q7og5o63","21","fold-1"
"Ankle boot","Bag","1","q7og5o63","0","fold-1"
"Ankle boot","Ankle boot","1","q7og5o63","972","fold-1"
