"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","0.4689563632408778","0.4689563632408778","0.4689563632408778"
"1","0.2912774217824141","0.2912774217824141","0.2912774217824141"
"2","0.24273074809710185","0.24273074809710185","0.24273074809710185"
"3","0.20910329006115597","0.20910329006115597","0.20910329006115597"
"4","0.18365658721327782","0.18365658721327782","0.18365658721327782"
"5","0.15999064237624408","0.15999064237624408","0.15999064237624408"
"6","0.13822481135527293","0.13822481135527293","0.13822481135527293"
"7","0.11660139626761278","0.11660139626761278","0.11660139626761278"
"8","0.09579310450578729","0.09579310450578729","0.09579310450578729"
"9","0.07919498289221277","0.07919498289221277","0.07919498289221277"
"10","0.06500160512514412","0.06500160512514412","0.06500160512514412"
