"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.3164944517961208","0.3164944517961208","0.3164944517961208"
"1","0.288279703521031","0.288279703521031","0.288279703521031"
"2","0.24951191357475647","0.24951191357475647","0.24951191357475647"
"3","0.25598370101540646","0.25598370101540646","0.25598370101540646"
"4","0.21943656557259408","0.21943656557259408","0.21943656557259408"
"5","0.21492428281047243","0.21492428281047243","0.21492428281047243"
"6","0.23350754411930733","0.23350754411930733","0.23350754411930733"
"7","0.22513495429240643","0.22513495429240643","0.22513495429240643"
"8","0.23968962853417752","0.23968962853417752","0.23968962853417752"
"9","0.24424778378786557","0.24424778378786557","0.24424778378786557"
"10","0.25529732097415847","0.25529732097415847","0.25529732097415847"
