"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.3036458105879261","0.3036458105879261","0.3036458105879261"
"1","0.2986836513464755","0.2986836513464755","0.2986836513464755"
"2","0.24731769543537435","0.24731769543537435","0.24731769543537435"
"3","0.23284196861563844","0.23284196861563844","0.23284196861563844"
"4","0.2286510966084105","0.2286510966084105","0.2286510966084105"
"5","0.2151858675432332","0.2151858675432332","0.2151858675432332"
"6","0.2255592535626381","0.2255592535626381","0.2255592535626381"
"7","0.2173504505227221","0.2173504505227221","0.2173504505227221"
"8","0.20723510721817295","0.20723510721817295","0.20723510721817295"
"9","0.20474453535961343","0.20474453535961343","0.20474453535961343"
"10","0.19824190663688995","0.19824190663688995","0.19824190663688995"
"11","0.2001902855377882","0.2001902855377882","0.2001902855377882"
"12","0.19856712493569928","0.19856712493569928","0.19856712493569928"
"13","0.19399572498700085","0.19399572498700085","0.19399572498700085"
"14","0.19105526252075078","0.19105526252075078","0.19105526252075078"
"15","0.19425107744779993","0.19425107744779993","0.19425107744779993"
"16","0.20356442034244537","0.20356442034244537","0.20356442034244537"
"17","0.19030322146384007","0.19030322146384007","0.19030322146384007"
"18","0.18676290478795132","0.18676290478795132","0.18676290478795132"
"19","0.1919794068572686","0.1919794068572686","0.1919794068572686"
"20","0.19450629205304257","0.19450629205304257","0.19450629205304257"
"21","0.19583952183181302","0.19583952183181302","0.19583952183181302"
"22","0.19720935191404312","0.19720935191404312","0.19720935191404312"
"23","0.18862870595160317","0.18862870595160317","0.18862870595160317"
