"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","0.4468498817880948","0.4468498817880948","0.4468498817880948"
"1","0.3315205767850081","0.3315205767850081","0.3315205767850081"
"2","0.29580032380421956","0.29580032380421956","0.29580032380421956"
"3","0.2766161886652311","0.2766161886652311","0.2766161886652311"
"4","0.2611947958072027","0.2611947958072027","0.2611947958072027"
"5","0.24807407251993815","0.24807407251993815","0.24807407251993815"
"6","0.23845048466324806","0.23845048466324806","0.23845048466324806"
"7","0.23191315593818823","0.23191315593818823","0.23191315593818823"
"8","0.22030040216942628","0.22030040216942628","0.22030040216942628"
"9","0.21565122041106224","0.21565122041106224","0.21565122041106224"
"10","0.20989030510683854","0.20989030510683854","0.20989030510683854"
"11","0.20236288294692834","0.20236288294692834","0.20236288294692834"
"12","0.1984144077350696","0.1984144077350696","0.1984144077350696"
"13","0.19246896862983703","0.19246896862983703","0.19246896862983703"
"14","0.18661013900736967","0.18661013900736967","0.18661013900736967"
"15","0.1835010147790114","0.1835010147790114","0.1835010147790114"
"16","0.1809555028801163","0.1809555028801163","0.1809555028801163"
"17","0.17532747254769007","0.17532747254769007","0.17532747254769007"
"18","0.1740163352191448","0.1740163352191448","0.1740163352191448"
"19","0.16916645044088363","0.16916645044088363","0.16916645044088363"
"20","0.16727164378762246","0.16727164378762246","0.16727164378762246"
"21","0.16146905936052403","0.16146905936052403","0.16146905936052403"
"22","0.15851746585716803","0.15851746585716803","0.15851746585716803"
"23","0.15605897203584512","0.15605897203584512","0.15605897203584512"
