"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","0","s480ngh1","888","fold-1"
"T-shirt/top","Trouser","0","s480ngh1","0","fold-1"
"T-shirt/top","Pullover","0","s480ngh1","14","fold-1"
"T-shirt/top","Dress","0","s480ngh1","9","fold-1"
"T-shirt/top","Coat","0","s480ngh1","1","fold-1"
"T-shirt/top","Sandal","0","s480ngh1","1","fold-1"
"T-shirt/top","Shirt","0","s480ngh1","81","fold-1"
"T-shirt/top","Sneaker","0","s480ngh1","0","fold-1"
"T-shirt/top","Bag","0","s480ngh1","6","fold-1"
"T-shirt/top","Ankle boot","0","s480ngh1","0","fold-1"
"Trouser","T-shirt/top","0","s480ngh1","0","fold-1"
"Trouser","Trouser","0","s480ngh1","985","fold-1"
"Trouser","Pullover","0","s480ngh1","0","fold-1"
"Trouser","Dress","0","s480ngh1","9","fold-1"
"Trouser","Coat","0","s480ngh1","1","fold-1"
"Trouser","Sandal","0","s480ngh1","0","fold-1"
"Trouser","Shirt","0","s480ngh1","3","fold-1"
"Trouser","Sneaker","0","s480ngh1","0","fold-1"
"Trouser","Bag","0","s480ngh1","2","fold-1"
"Trouser","Ankle boot","0","s480ngh1","0","fold-1"
"Pullover","T-shirt/top","0","s480ngh1","13","fold-1"
"Pullover","Trouser","0","s480ngh1","0","fold-1"
"Pullover","Pullover","0","s480ngh1","904","fold-1"
"Pullover","Dress","0","s480ngh1","8","fold-1"
"Pullover","Coat","0","s480ngh1","30","fold-1"
"Pullover","Sandal","0","s480ngh1","0","fold-1"
"Pullover","Shirt","0","s480ngh1","45","fold-1"
"Pullover","Sneaker","0","s480ngh1","0","fold-1"
"Pullover","Bag","0","s480ngh1","0","fold-1"
"Pullover","Ankle boot","0","s480ngh1","0","fold-1"
"Dress","T-shirt/top","0","s480ngh1","5","fold-1"
"Dress","Trouser","0","s480ngh1","1","fold-1"
"Dress","Pullover","0","s480ngh1","10","fold-1"
"Dress","Dress","0","s480ngh1","941","fold-1"
"Dress","Coat","0","s480ngh1","18","fold-1"
"Dress","Sandal","0","s480ngh1","0","fold-1"
"Dress","Shirt","0","s480ngh1","24","fold-1"
"Dress","Sneaker","0","s480ngh1","0","fold-1"
"Dress","Bag","0","s480ngh1","1","fold-1"
"Dress","Ankle boot","0","s480ngh1","0","fold-1"
"Coat","T-shirt/top","0","s480ngh1","0","fold-1"
"Coat","Trouser","0","s480ngh1","0","fold-1"
"Coat","Pullover","0","s480ngh1","44","fold-1"
"Coat","Dress","0","s480ngh1","25","fold-1"
"Coat","Coat","0","s480ngh1","880","fold-1"
"Coat","Sandal","0","s480ngh1","0","fold-1"
"Coat","Shirt","0","s480ngh1","51","fold-1"
"Coat","Sneaker","0","s480ngh1","0","fold-1"
"Coat","Bag","0","s480ngh1","0","fold-1"
"Coat","Ankle boot","0","s480ngh1","0","fold-1"
"Sandal","T-shirt/top","0","s480ngh1","0","fold-1"
"Sandal","Trouser","0","s480ngh1","0","fold-1"
"Sandal","Pullover","0","s480ngh1","0","fold-1"
"Sandal","Dress","0","s480ngh1","0","fold-1"
"Sandal","Coat","0","s480ngh1","0","fold-1"
"Sandal","Sandal","0","s480ngh1","987","fold-1"
"Sandal","Shirt","0","s480ngh1","0","fold-1"
"Sandal","Sneaker","0","s480ngh1","7","fold-1"
"Sandal","Bag","0","s480ngh1","0","fold-1"
"Sandal","Ankle boot","0","s480ngh1","6","fold-1"
"Shirt","T-shirt/top","0","s480ngh1","71","fold-1"
"Shirt","Trouser","0","s480ngh1","0","fold-1"
"Shirt","Pullover","0","s480ngh1","51","fold-1"
"Shirt","Dress","0","s480ngh1","17","fold-1"
"Shirt","Coat","0","s480ngh1","61","fold-1"
"Shirt","Sandal","0","s480ngh1","0","fold-1"
"Shirt","Shirt","0","s480ngh1","793","fold-1"
"Shirt","Sneaker","0","s480ngh1","0","fold-1"
"Shirt","Bag","0","s480ngh1","7","fold-1"
"Shirt","Ankle boot","0","s480ngh1","0","fold-1"
"Sneaker","T-shirt/top","0","s480ngh1","0","fold-1"
"Sneaker","Trouser","0","s480ngh1","0","fold-1"
"Sneaker","Pullover","0","s480ngh1","0","fold-1"
"Sneaker","Dress","0","s480ngh1","0","fold-1"
"Sneaker","Coat","0","s480ngh1","0","fold-1"
"Sneaker","Sandal","0","s480ngh1","7","fold-1"
"Sneaker","Shirt","0","s480ngh1","0","fold-1"
"Sneaker","Sneaker","0","s480ngh1","977","fold-1"
"Sneaker","Bag","0","s480ngh1","0","fold-1"
"Sneaker","Ankle boot","0","s480ngh1","16","fold-1"
"Bag","T-shirt/top","0","s480ngh1","2","fold-1"
"Bag","Trouser","0","s480ngh1","0","fold-1"
"Bag","Pullover","0","s480ngh1","3","fold-1"
"Bag","Dress","0","s480ngh1","4","fold-1"
"Bag","Coat","0","s480ngh1","1","fold-1"
"Bag","Sandal","0","s480ngh1","0","fold-1"
"Bag","Shirt","0","s480ngh1","1","fold-1"
"Bag","Sneaker","0","s480ngh1","0","fold-1"
"Bag","Bag","0","s480ngh1","989","fold-1"
"Bag","Ankle boot","0","s480ngh1","0","fold-1"
"Ankle boot","T-shirt/top","0","s480ngh1","1","fold-1"
"Ankle boot","Trouser","0","s480ngh1","0","fold-1"
"Ankle boot","Pullover","0","s480ngh1","0","fold-1"
"Ankle boot","Dress","0","s480ngh1","0","fold-1"
"Ankle boot","Coat","0","s480ngh1","0","fold-1"
"Ankle boot","Sandal","0","s480ngh1","4","fold-1"
"Ankle boot","Shirt","0","s480ngh1","0","fold-1"
"Ankle boot","Sneaker","0","s480ngh1","35","fold-1"
"Ankle boot","Bag","0","s480ngh1","0","fold-1"
"Ankle boot","Ankle boot","0","s480ngh1","960","fold-1"
