"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.4488448167734958","0.4488448167734958","0.4488448167734958"
"1","0.3826376145031858","0.3826376145031858","0.3826376145031858"
"2","0.3729570288448892","0.3729570288448892","0.3729570288448892"
"3","0.34458898618183237","0.34458898618183237","0.34458898618183237"
"4","0.33077003648306463","0.33077003648306463","0.33077003648306463"
"5","0.3081924503153943","0.3081924503153943","0.3081924503153943"
"6","0.32655227988799834","0.32655227988799834","0.32655227988799834"
"7","0.30887390990206537","0.30887390990206537","0.30887390990206537"
"8","0.31369474018983384","0.31369474018983384","0.31369474018983384"
"9","0.3240838534337409","0.3240838534337409","0.3240838534337409"
"10","0.30221623507268885","0.30221623507268885","0.30221623507268885"
"11","0.31920905981926206","0.31920905981926206","0.31920905981926206"
"12","0.2947202278102966","0.2947202278102966","0.2947202278102966"
"13","0.34666452192245645","0.34666452192245645","0.34666452192245645"
"14","0.31334524554141024","0.31334524554141024","0.31334524554141024"
"15","0.31947296802350816","0.31947296802350816","0.31947296802350816"
"16","0.33072194718617076","0.33072194718617076","0.33072194718617076"
"17","0.3325376641401585","0.3325376641401585","0.3325376641401585"
