"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","0.5648973066210746","0.5648973066210746","0.5648973066210746"
"1","0.38784320845206577","0.38784320845206577","0.38784320845206577"
"2","0.3423746483723323","0.3423746483723323","0.3423746483723323"
"3","0.31406506248315175","0.31406506248315175","0.31406506248315175"
"4","0.2960832764605681","0.2960832764605681","0.2960832764605681"
"5","0.2771754614810149","0.2771754614810149","0.2771754614810149"
"6","0.2613404565950235","0.2613404565950235","0.2613404565950235"
"7","0.24820760053396224","0.24820760053396224","0.24820760053396224"
"8","0.2393798630833626","0.2393798630833626","0.2393798630833626"
"9","0.2263201561421156","0.2263201561421156","0.2263201561421156"
"10","0.21634543383618196","0.21634543383618196","0.21634543383618196"
"11","0.2081070348074039","0.2081070348074039","0.2081070348074039"
"12","0.1976946778645118","0.1976946778645118","0.1976946778645118"
"13","0.19034432830413184","0.19034432830413184","0.19034432830413184"
"14","0.1818780354509751","0.1818780354509751","0.1818780354509751"
"15","0.1750276067306598","0.1750276067306598","0.1750276067306598"
"16","0.1678230858097474","0.1678230858097474","0.1678230858097474"
"17","0.1595042477697134","0.1595042477697134","0.1595042477697134"
