"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","0.5567199500401815","0.5567199500401815","0.5567199500401815"
"1","0.38608468892176945","0.38608468892176945","0.38608468892176945"
"2","0.33639000780383743","0.33639000780383743","0.33639000780383743"
"3","0.3087970285912355","0.3087970285912355","0.3087970285912355"
"4","0.28699604792396227","0.28699604792396227","0.28699604792396227"
"5","0.272865070382754","0.272865070382754","0.272865070382754"
"6","0.25776807143290836","0.25776807143290836","0.25776807143290836"
"7","0.24323229520022868","0.24323229520022868","0.24323229520022868"
"8","0.232719105809927","0.232719105809927","0.232719105809927"
"9","0.22141203772028287","0.22141203772028287","0.22141203772028287"
"10","0.21140008655190468","0.21140008655190468","0.21140008655190468"
"11","0.20305843449632327","0.20305843449632327","0.20305843449632327"
"12","0.1930616216311852","0.1930616216311852","0.1930616216311852"
"13","0.18668681158622105","0.18668681158622105","0.18668681158622105"
"14","0.17779555881520112","0.17779555881520112","0.17779555881520112"
"15","0.172170735232532","0.172170735232532","0.172170735232532"
"16","0.1607029921213786","0.1607029921213786","0.1607029921213786"
