"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.4084285163974508","0.4084285163974508","0.4084285163974508"
"1","0.36521243343644955","0.36521243343644955","0.36521243343644955"
"2","0.3445645243405028","0.3445645243405028","0.3445645243405028"
"3","0.3409171656091162","0.3409171656091162","0.3409171656091162"
"4","0.32051946769686457","0.32051946769686457","0.32051946769686457"
"5","0.3148309126337792","0.3148309126337792","0.3148309126337792"
"6","0.3200966216068953","0.3200966216068953","0.3200966216068953"
"7","0.3128027926258584","0.3128027926258584","0.3128027926258584"
"8","0.3168335594633158","0.3168335594633158","0.3168335594633158"
"9","0.3095815332725327","0.3095815332725327","0.3095815332725327"
"10","0.30380449887919936","0.30380449887919936","0.30380449887919936"
"11","0.29939747181661586","0.29939747181661586","0.29939747181661586"
"12","0.3322563781303928","0.3322563781303928","0.3322563781303928"
"13","0.32180853937059006","0.32180853937059006","0.32180853937059006"
"14","0.3120294029012005","0.3120294029012005","0.3120294029012005"
"15","0.3150960728129808","0.3150960728129808","0.3150960728129808"
"16","0.3303211199000795","0.3303211199000795","0.3303211199000795"
