"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","1","95a3nflv","909","fold-1"
"T-shirt/top","Trouser","1","95a3nflv","1","fold-1"
"T-shirt/top","Pullover","1","95a3nflv","21","fold-1"
"T-shirt/top","Dress","1","95a3nflv","9","fold-1"
"T-shirt/top","Coat","1","95a3nflv","2","fold-1"
"T-shirt/top","Sandal","1","95a3nflv","0","fold-1"
"T-shirt/top","Shirt","1","95a3nflv","54","fold-1"
"T-shirt/top","Sneaker","1","95a3nflv","0","fold-1"
"T-shirt/top","Bag","1","95a3nflv","4","fold-1"
"T-shirt/top","Ankle boot","1","95a3nflv","0","fold-1"
"Trouser","T-shirt/top","1","95a3nflv","0","fold-1"
"Trouser","Trouser","1","95a3nflv","992","fold-1"
"Trouser","Pullover","1","95a3nflv","0","fold-1"
"Trouser","Dress","1","95a3nflv","7","fold-1"
"Trouser","Coat","1","95a3nflv","0","fold-1"
"Trouser","Sandal","1","95a3nflv","0","fold-1"
"Trouser","Shirt","1","95a3nflv","0","fold-1"
"Trouser","Sneaker","1","95a3nflv","0","fold-1"
"Trouser","Bag","1","95a3nflv","1","fold-1"
"Trouser","Ankle boot","1","95a3nflv","0","fold-1"
"Pullover","T-shirt/top","1","95a3nflv","9","fold-1"
"Pullover","Trouser","1","95a3nflv","1","fold-1"
"Pullover","Pullover","1","95a3nflv","942","fold-1"
"Pullover","Dress","1","95a3nflv","8","fold-1"
"Pullover","Coat","1","95a3nflv","17","fold-1"
"Pullover","Sandal","1","95a3nflv","0","fold-1"
"Pullover","Shirt","1","95a3nflv","23","fold-1"
"Pullover","Sneaker","1","95a3nflv","0","fold-1"
"Pullover","Bag","1","95a3nflv","0","fold-1"
"Pullover","Ankle boot","1","95a3nflv","0","fold-1"
"Dress","T-shirt/top","1","95a3nflv","11","fold-1"
"Dress","Trouser","1","95a3nflv","1","fold-1"
"Dress","Pullover","1","95a3nflv","14","fold-1"
"Dress","Dress","1","95a3nflv","941","fold-1"
"Dress","Coat","1","95a3nflv","12","fold-1"
"Dress","Sandal","1","95a3nflv","0","fold-1"
"Dress","Shirt","1","95a3nflv","21","fold-1"
"Dress","Sneaker","1","95a3nflv","0","fold-1"
"Dress","Bag","1","95a3nflv","0","fold-1"
"Dress","Ankle boot","1","95a3nflv","0","fold-1"
"Coat","T-shirt/top","1","95a3nflv","0","fold-1"
"Coat","Trouser","1","95a3nflv","0","fold-1"
"Coat","Pullover","1","95a3nflv","23","fold-1"
"Coat","Dress","1","95a3nflv","8","fold-1"
"Coat","Coat","1","95a3nflv","933","fold-1"
"Coat","Sandal","1","95a3nflv","0","fold-1"
"Coat","Shirt","1","95a3nflv","36","fold-1"
"Coat","Sneaker","1","95a3nflv","0","fold-1"
"Coat","Bag","1","95a3nflv","0","fold-1"
"Coat","Ankle boot","1","95a3nflv","0","fold-1"
"Sandal","T-shirt/top","1","95a3nflv","0","fold-1"
"Sandal","Trouser","1","95a3nflv","0","fold-1"
"Sandal","Pullover","1","95a3nflv","0","fold-1"
"Sandal","Dress","1","95a3nflv","0","fold-1"
"Sandal","Coat","1","95a3nflv","0","fold-1"
"Sandal","Sandal","1","95a3nflv","991","fold-1"
"Sandal","Shirt","1","95a3nflv","0","fold-1"
"Sandal","Sneaker","1","95a3nflv","6","fold-1"
"Sandal","Bag","1","95a3nflv","0","fold-1"
"Sandal","Ankle boot","1","95a3nflv","3","fold-1"
"Shirt","T-shirt/top","1","95a3nflv","80","fold-1"
"Shirt","Trouser","1","95a3nflv","0","fold-1"
"Shirt","Pullover","1","95a3nflv","38","fold-1"
"Shirt","Dress","1","95a3nflv","15","fold-1"
"Shirt","Coat","1","95a3nflv","42","fold-1"
"Shirt","Sandal","1","95a3nflv","0","fold-1"
"Shirt","Shirt","1","95a3nflv","821","fold-1"
"Shirt","Sneaker","1","95a3nflv","0","fold-1"
"Shirt","Bag","1","95a3nflv","4","fold-1"
"Shirt","Ankle boot","1","95a3nflv","0","fold-1"
"Sneaker","T-shirt/top","1","95a3nflv","0","fold-1"
"Sneaker","Trouser","1","95a3nflv","0","fold-1"
"Sneaker","Pullover","1","95a3nflv","0","fold-1"
"Sneaker","Dress","1","95a3nflv","0","fold-1"
"Sneaker","Coat","1","95a3nflv","0","fold-1"
"Sneaker","Sandal","1","95a3nflv","2","fold-1"
"Sneaker","Shirt","1","95a3nflv","0","fold-1"
"Sneaker","Sneaker","1","95a3nflv","982","fold-1"
"Sneaker","Bag","1","95a3nflv","0","fold-1"
"Sneaker","Ankle boot","1","95a3nflv","16","fold-1"
"Bag","T-shirt/top","1","95a3nflv","0","fold-1"
"Bag","Trouser","1","95a3nflv","0","fold-1"
"Bag","Pullover","1","95a3nflv","0","fold-1"
"Bag","Dress","1","95a3nflv","1","fold-1"
"Bag","Coat","1","95a3nflv","2","fold-1"
"Bag","Sandal","1","95a3nflv","1","fold-1"
"Bag","Shirt","1","95a3nflv","0","fold-1"
"Bag","Sneaker","1","95a3nflv","0","fold-1"
"Bag","Bag","1","95a3nflv","996","fold-1"
"Bag","Ankle boot","1","95a3nflv","0","fold-1"
"Ankle boot","T-shirt/top","1","95a3nflv","0","fold-1"
"Ankle boot","Trouser","1","95a3nflv","0","fold-1"
"Ankle boot","Pullover","1","95a3nflv","0","fold-1"
"Ankle boot","Dress","1","95a3nflv","0","fold-1"
"Ankle boot","Coat","1","95a3nflv","0","fold-1"
"Ankle boot","Sandal","1","95a3nflv","5","fold-1"
"Ankle boot","Shirt","1","95a3nflv","0","fold-1"
