"Step","fold-1 - val_loss","fold-1 - val_loss__MIN","fold-1 - val_loss__MAX"
"0","0.39159228789806366","0.39159228789806366","0.39159228789806366"
"1","0.26377488683660827","0.26377488683660827","0.26377488683660827"
"2","0.22866458642482757","0.22866458642482757","0.22866458642482757"
"3","0.2036561383654674","0.2036561383654674","0.2036561383654674"
"4","0.1858561386515697","0.1858561386515697","0.1858561386515697"
"5","0.17384113785872857","0.17384113785872857","0.17384113785872857"
"6","0.17032322364797195","0.17032322364797195","0.17032322364797195"
"7","0.1596035979439815","0.1596035979439815","0.1596035979439815"
"8","0.15809999858091275","0.15809999858091275","0.15809999858091275"
"9","0.15755948637674252","0.15755948637674252","0.15755948637674252"
"10","0.15574892840037743","0.15574892840037743","0.15574892840037743"
"11","0.15386074743668238","0.15386074743668238","0.15386074743668238"
"12","0.15525333229700725","0.15525333229700725","0.15525333229700725"
"13","0.15332361454578738","0.15332361454578738","0.15332361454578738"
"14","0.15321206463873385","0.15321206463873385","0.15321206463873385"
"15","0.15306675219535829","0.15306675219535829","0.15306675219535829"
"16","0.15585674093849958","0.15585674093849958","0.15585674093849958"
"17","0.1679747233837843","0.1679747233837843","0.1679747233837843"
"18","0.1592609953355665","0.1592609953355665","0.1592609953355665"
"19","0.16827422411367296","0.16827422411367296","0.16827422411367296"
