"Step","fold-1 - val_acc","fold-1 - val_acc__MIN","fold-1 - val_acc__MAX"
"0","0.8683333333333333","0.8683333333333333","0.8683333333333333"
"1","0.9064166666666666","0.9064166666666666","0.9064166666666666"
"2","0.9170833333333334","0.9170833333333334","0.9170833333333334"
"3","0.927","0.927","0.927"
"4","0.9341666666666667","0.9341666666666667","0.9341666666666667"
"5","0.94","0.94","0.94"
"6","0.93725","0.93725","0.93725"
"7","0.945","0.945","0.945"
"8","0.9438333333333333","0.9438333333333333","0.9438333333333333"
"9","0.9464166666666667","0.9464166666666667","0.9464166666666667"
"10","0.9453333333333334","0.9453333333333334","0.9453333333333334"
"11","0.9473333333333334","0.9473333333333334","0.9473333333333334"
"12","0.9453333333333334","0.9453333333333334","0.9453333333333334"
"13","0.9498333333333333","0.9498333333333333","0.9498333333333333"
"14","0.9475","0.9475","0.9475"
"15","0.9495","0.9495","0.9495"
"16","0.9491666666666667","0.9491666666666667","0.9491666666666667"
"17","0.9473333333333334","0.9473333333333334","0.9473333333333334"
"18","0.9498333333333333","0.9498333333333333","0.9498333333333333"
"19","0.9480833333333333","0.9480833333333333","0.9480833333333333"
