"Step","fold-1 - train_loss","fold-1 - train_loss__MIN","fold-1 - train_loss__MAX"
"0","1.0664991241296133","1.0664991241296133","1.0664991241296133"
"1","0.38294425829748313","0.38294425829748313","0.38294425829748313"
"2","0.2945540705223878","0.2945540705223878","0.2945540705223878"
"3","0.25271197166542214","0.25271197166542214","0.25271197166542214"
"4","0.22211800728117426","0.22211800728117426","0.22211800728117426"
"5","0.19838386532540123","0.19838386532540123","0.19838386532540123"
"6","0.18175441888719798","0.18175441888719798","0.18175441888719798"
"7","0.16755353539250792","0.16755353539250792","0.16755353539250792"
"8","0.15298424771117666","0.15298424771117666","0.15298424771117666"
"9","0.1413340298117449","0.1413340298117449","0.1413340298117449"
"10","0.13234586675992857","0.13234586675992857","0.13234586675992857"
"11","0.12534344710347553","0.12534344710347553","0.12534344710347553"
"12","0.11103508375305682","0.11103508375305682","0.11103508375305682"
"13","0.1022922295507354","0.1022922295507354","0.1022922295507354"
"14","0.09641126427178581","0.09641126427178581","0.09641126427178581"
"15","0.08934519392826284","0.08934519392826284","0.08934519392826284"
"16","0.08100317777258655","0.08100317777258655","0.08100317777258655"
"17","0.07451613583539923","0.07451613583539923","0.07451613583539923"
"18","0.06963267075185044","0.06963267075185044","0.06963267075185044"
"19","0.0631470852821755","0.0631470852821755","0.0631470852821755"
